feature,coefficient
intercept,184180.02776593686
end_0,13266.127924038774
end_1,-18691.32413183325
end_2,2250.6725493959393
end_3,14007.725672154762
end_4,-6844.334508333045
end_5,7083.548590313794
end_6,2581.196584252121
end_7,19018.46169532372
end_8,921.7000781051244
area,10072.178168516548
area2,22.51574551444766
centredistance,18301.396567976833
schooldistance,47635.726036259686
clinicdistance,-67079.67384219522
postofficedistance,23538.62331979512
kindergartendistance,3729.1904506147275
restaurantdistance,-237743.22018247657
collegedistance,-19927.560188326708
pharmacydistance,110961.2229625389
hasparkingspace,34463.920707940895
hasbalcony,33682.19375422224
hassecurity,73948.49179967275
hasstorageroom,-66269.81548321735
month_2,15600.77347712164
month_3,29144.872992882483
month_4,41436.71907950139
month_5,49938.95267919988
month_6,53893.27350895527
type_tenement,-85358.03696978797
type_blockOfFlats,-106835.85067830916
rooms_3,13506.783073810233
rooms_2,27716.050206676733
rooms_5,-84689.41469538366
rooms_1,35465.627749489046
rooms_6,-60675.55608457994
ownership_cooperative,-41353.7024238629
ownership_udziaÃÂ,-95055.08958290149
buildingmaterial_concreteSlab,-79255.92668606347
