n_features,r2_full,adj_r2_full,r2_out_of_sample
1,0.24457185909838686,0.2438149170734354,0.3157000335048641
2,0.24519559091808596,0.2436814396461061,0.3117879344227622
5,0.24883040416157698,0.24505188506782238,0.31015132605075146
10,0.2540362501978919,0.24649364403204654,0.30363535518087525
20,0.2596438385648948,0.24451909573680286,0.31137995446572486
50,0.2632066632432828,0.2243872039831818,0.31023730148954487
100,0.26440271857628517,0.18257877181057725,0.30471866700698147
200,0.26683822394346923,0.08331838012456294,0.2978327771562155
500,0.27348568041679355,-0.4544845796866197,-15.586483520635841
1000,0.2755743154492145,,-209105.3545559767
