feature,coefficient
intercept,94044.92638971971
end_0,16150.821003633864
end_1,-18909.056872860707
end_2,4062.773633992885
end_3,18053.06524999804
end_4,-2557.3437573882406
end_5,14592.217404969631
end_6,1420.7107652927682
end_7,16003.050689355847
end_8,-48.89431299526839
area,10580.40750294664
area2,21.596174912808895
centredistance,21668.35363443307
schooldistance,39708.465614140434
clinicdistance,-55063.76283238666
postofficedistance,16024.826027796138
kindergartendistance,17467.985351134666
restaurantdistance,-232602.02387669552
collegedistance,-29927.206407939502
pharmacydistance,115649.03733851449
hasparkingspace,12352.198755209134
hasbalcony,16727.63533431276
haselevator,177982.6155590039
hassecurity,38387.498338516714
hasstorageroom,-32609.180786221965
month_2,16627.213023222357
month_3,28288.407781400463
month_4,40255.77313037023
month_5,48565.87956937615
month_6,52957.01759887442
type_blockOfFlats,-99259.85172877522
type_tenement,-31098.086204534822
rooms_2,-6933.053328194003
rooms_3,-24483.04701180903
rooms_4,-34014.09937888596
rooms_5,-115135.24956798679
rooms_6,-87833.39403619803
ownership_cooperative,-39089.6337174357
ownership_udziaÃÂ,-30630.790858813107
buildingmaterial_concreteSlab,-99815.90456610863
