"feature","coefficient"
"intercept",71964.7290554634
"end_0",25147.115838739
"end_1",-8162.53059374053
"end_2",9140.96813995736
"end_3",46893.2323498539
"end_4",13851.5346548721
"end_5",20872.1431558534
"end_6",5388.57038864417
"end_7",18043.9871327561
"end_8",2761.67363437951
"area",11267.0979041798
"area2",17.1536882388915
"centredistance",22420.4083672505
"schooldistance",19696.0755207324
"clinicdistance",-54094.3572057274
"postofficedistance",-2338.13483427928
"kindergartendistance",24413.7032381305
"restaurantdistance",-241244.161914005
"collegedistance",-30399.3429160914
"pharmacydistance",128581.267938693
"hasparkingspace",-5947.97495851835
"hasbalcony",8690.53508402322
"haselevator",204294.261878848
"hassecurity",5056.97024238817
"hasstorageroom",-4961.32451010112
"month_2",18404.5096987757
"month_3",33748.3385577673
"month_4",49606.0362082434
"month_5",58982.6134487283
"month_6",67175.6343216439
"type_tenement",-86217.254161684
"type_blockOfFlats",-167419.982974203
"rooms_3",6925.12672239023
"rooms_2",23162.1378283475
"rooms_5",-56771.9975189018
"rooms_1",22953.5262847153
"rooms_6",-19467.8341905304
"ownership_cooperative",-7514.4166311704
"ownership_udziaÃÂ",-12902.271525321
"buildingmaterial_concreteSlab",-93957.584531345
